scenario,state,abbr,fips,population,foreign_born_share,second_generation_proxy,third_plus_proxy,black_alone_share,old_stock_factor,fertility_factor,average_qualifying_ancestry,any_qualifying_ancestor_share,primary_qualifying_ancestry_share,average_qualifying_ancestry_uncalibrated,any_qualifying_ancestor_share_uncalibrated,primary_qualifying_ancestry_share_uncalibrated
central,Utah,UT,49,3271616,0.09,0.0905162344217584,0.8194837655782417,0.015,0.72,1.18,0.49593020549834355,0.783222805636504,0.44488323451025885,0.4025392619663743,0.5333022122279459,0.3622192551157626
central,Vermont,VT,50,643077,0.045,0.05571927816268332,0.8992807218373167,0.014,1.18,0.9,0.8287021936465244,1.0,0.7498068410603926,0.6726453959084401,0.8838508462574501,0.6104848517130073
central,Virginia,VA,51,8631393,0.125,0.11391836180922191,0.7610816381907781,0.19,0.86,0.98,0.4048905577047926,0.6446495167315521,0.36010481107576703,0.3286437173389417,0.43894663295104347,0.2931935535288393
central,Washington,WA,53,7705281,0.145,0.12639046843988785,0.7286095315601121,0.04,0.68,0.92,0.380629344913015,0.6069851932454575,0.33795171617289593,0.3089512473434961,0.41330071598763296,0.2751567364232
central,West Virginia,WV,54,1793716,0.018,0.029339146484682246,0.9526608535153177,0.035,1.18,0.98,0.8700928952115522,1.0,0.7939560979075911,0.7062416202874618,0.9145679534018215,0.6464307127583462
central,Wisconsin,WI,55,5893718,0.055,0.06412252337581774,0.8808774766241823,0.065,1.02,0.95,0.6706767577788697,1.0,0.6054548660275155,0.5443784712064866,0.7168719852316704,0.4929549903585844
central,Wyoming,WY,56,576851,0.035,0.046730922346823814,0.9182690776531761,0.01,0.72,1.05,0.5375404468963147,0.8395275401768725,0.4878317997595864,0.43631368360248085,0.5716405232081571,0.39718752567787435
high,Alabama,AL,01,5024279,0.037,0.05573307969360787,0.9072669203063921,0.26,1.0152,1.03,0.5712257714872429,0.9126984248156887,0.5307521458559844,0.4553751640736094,0.5985707285521058,0.41314209020307124
high,Alaska,AK,02,733391,0.08,0.08852093646290819,0.8314790635370919,0.03,0.5184,1.07,0.35472885200620324,0.5711920638317037,0.32694089720915676,0.2827861018304484,0.374602213058456,0.2544936402056668
high,Arizona,AZ,04,7151502,0.135,0.1211692078238117,0.7438307921761883,0.05,0.6696000000000001,1.06,0.4006373474932625,0.6505535670676227,0.36598013313688654,0.3193838705381914,0.42664949562115706,0.2848821212641862
high,Arkansas,AR,05,3011524,0.05,0.06676886751166232,0.8832311324883376,0.15,1.1016000000000001,1.04,0.692828812144701,1.0,0.6415959342391568,0.5523158263393638,0.7283305780533765,0.49942385990707294
high,California,CA,06,39538223,0.267,0.1824310527470244,0.5505689472529756,0.055,0.5184,0.96,0.222526805268419,0.36979734898928307,0.19818640363315254,0.1773960236353683,0.2425224615084135,0.15427002167796694
high,Colorado,CO,08,5773714,0.1,0.10120267861456447,0.7987973213854356,0.04,0.8424,0.98,0.5364317530554066,0.8664362287290357,0.49280783408395334,0.4276377393231025,0.5682308094034557,0.38360590763798447
high,Connecticut,CT,09,3605944,0.155,0.1316409556453649,0.713359044354635,0.11,0.9936000000000001,0.92,0.5065976694406603,0.8258713274999537,0.4608126180837263,0.40385432232901425,0.5416273204281798,0.3587005530048648
high,Delaware,DE,10,989948,0.1,0.10120267861456447,0.7987973213854356,0.22,0.9504,0.98,0.4774307431888699,0.7722940694127699,0.43790963522956683,0.38060275615255973,0.5064899984660586,0.3408726717949035
high,District of Columbia,DC,11,689545,0.14,0.12384224860283045,0.7361577513971695,0.44,0.5940000000000001,0.88,0.16688779815259924,0.27366064900941267,0.1508450459574929,0.13304119362079678,0.17947358031946342,0.11741909678603003
high,Florida,FL,12,21538187,0.21,0.15795143808064005,0.63204856191936,0.15,0.6696000000000001,0.92,0.2795498294402176,0.4607749591227547,0.251249259319557,0.2228541774588537,0.30218788099296945,0.1955746104235649
high,Georgia,GA,13,10711908,0.105,0.10420908603267977,0.7907909139673203,0.31,0.8640000000000001,1.02,0.37426122352952734,0.6066517386240552,0.34253103239399946,0.2983571025295635,0.3978575653167496,0.26662913713602127
high,Hawaii,HI,15,1455271,0.185,0.14638448344031205,0.6686155165596879,0.02,0.324,1.02,0.18015934013786356,0.29467460049097693,0.1632912961842182,0.1436211270039048,0.19325506159091252,0.12710736629941416
high,Idaho,ID,16,1839106,0.06,0.07448739010820696,0.865512609891793,0.01,0.8208000000000001,1.08,0.5973467029448664,0.958755788635678,0.5524215530950167,0.47619849530619973,0.6287763135157126,0.4300097454167057
high,Illinois,IL,17,12812508,0.14,0.12384224860283045,0.7361577513971695,0.14,0.9288000000000001,0.95,0.47307870117845613,0.7696712964266043,0.4312596316652595,0.37713335413418164,0.504769917556011,0.3356962511362835
high,Indiana,IN,18,6785528,0.055,0.0706984058510803,0.8743015941489196,0.095,1.08,1.0,0.7096204433582171,1.0,0.656651743655818,0.5657019377520369,0.7465211252087492,0.5111434330085
high,Iowa,IA,19,3190369,0.055,0.0706984058510803,0.8743015941489196,0.04,1.1340000000000001,1.0,0.7917232204157,1.0,0.7327518326155738,0.6311534062250157,0.8327562372590843,0.5703804046589249
high,Kansas,KS,20,2937880,0.075,0.0851586495034115,0.8398413504965886,0.06,1.0152,1.03,0.6716973156009586,1.0,0.6194972164808277,0.5354700200294107,0.708873215860653,0.48222202564833555
high,Kentucky,KY,21,4505836,0.04,0.05840203796591606,0.9015979620340839,0.08,1.1880000000000002,1.03,0.8240969777411337,1.0,0.7653092984812153,0.6569614243320521,0.8422182349676497,0.5957234194813201
high,Louisiana,LA,22,4657757,0.045,0.06267863295207085,0.8923213670479291,0.32,0.8424,1.02,0.425617419177418,0.6818955384226231,0.3943482498435883,0.3392977203845072,0.4472043537409246,0.30696411023557246
high,Maine,ME,23,1362359,0.04,0.05840203796591606,0.9015979620340839,0.02,1.2528,0.92,0.8997433244007997,1.0,0.8356549186496661,0.7172658945453395,0.8968380846846857,0.6504810625355059
high,Maryland,MD,24,6177224,0.155,0.1316409556453649,0.713359044354635,0.29,0.8424,0.96,0.3210093776500703,0.5253996507284842,0.2907455062721291,0.255905292290953,0.3445703894811464,0.22631883284181956
high,Massachusetts,MA,25,7029917,0.18,0.14399768513101346,0.6760023148689867,0.075,0.9720000000000001,0.89,0.48866807935748546,0.7994523010695076,0.44281219010999445,0.3895610421000065,0.5243010541959324,0.3446888631875328
high,Michigan,MI,26,10077331,0.07,0.08170541335966909,0.8482945866403309,0.135,1.026,0.94,0.6133499491297562,0.986539662543095,0.5659584842370845,0.4889561144839565,0.6469976812693831,0.4405470104482944
high,Minnesota,MN,27,5706494,0.09,0.09500304233167832,0.8149969576683217,0.07,1.026,0.98,0.6431917806044773,1.0,0.5917162959562752,0.5127457079903511,0.6804144838525299,0.4605971152963135
high,Mississippi,MS,28,2961279,0.025,0.044051024437492856,0.9309489755625071,0.37,0.918,1.04,0.4580851955772138,0.7291848830822836,0.4272762062255689,0.365180689506625,0.4782179029221898,0.33259551810077653
high,Missouri,MO,29,6154913,0.045,0.06267863295207085,0.8923213670479291,0.115,1.1340000000000001,0.99,0.7417843930671911,1.0,0.6877713580692643,0.5913426994386908,0.7788793421063718,0.5353672117448999
high,Montana,MT,30,1084225,0.025,0.044051024437492856,0.9309489755625071,0.006,0.8208000000000001,1.02,0.6306024918955804,1.0,0.5884781765456152,0.5027096597279312,0.6580039715818519,0.4580765349612314
