state,abbr,population,qualifying_share,counted_population,counted_population_share_of_us,actual_house_2024,hypothetical_house,house_change,actual_ev_2024,hypothetical_ev,ev_change,fips,foreign_born_share,second_generation_proxy,third_plus_proxy,black_alone_share,old_stock_factor,fertility_factor,average_qualifying_ancestry,any_qualifying_ancestor_share,primary_qualifying_ancestry_share,average_qualifying_ancestry_uncalibrated,any_qualifying_ancestor_share_uncalibrated,primary_qualifying_ancestry_share_uncalibrated
Missouri,MO,6154913,0.618380901094956,3806080.647101059,0.033501044792899934,8,14,6,10,16,6,29,0.0,0.0,0.0,0.1137042879403819,0.0,0.0,0.6055816356408091,0.7870519954526417,0.618380901094956,0.6177470053660978,0.7853168192425058,0.6320229761263687
New York,NY,20201249,0.1883431780062714,3804767.4363560122,0.03348948593851101,26,14,-12,28,16,-12,36,0.0,0.0,0.0,0.1478211569987578,0.0,0.0,0.2638728107637939,0.4952782031648801,0.1883431780062714,0.2595783534912697,0.4899365565521767,0.1847516954714504
Virginia,VA,8631393,0.388974227683905,3357389.426011264,0.029551673749656487,11,13,2,13,15,2,51,0.0,0.0,0.0,0.186248152528798,0.0,0.0,0.4273492826457559,0.7088240314046765,0.388974227683905,0.4396810770889336,0.7163338453661034,0.4038658474142345
Kentucky,KY,4505836,0.6689553702795488,3014203.189798921,0.02653095544711255,6,11,5,8,13,5,21,0.0,0.0,0.0,0.0804327987081642,0.0,0.0,0.6377565571933239,0.8173124080431583,0.6689553702795488,0.6542772383827857,0.8293281020107895,0.7032859244727808
Michigan,MI,10077331,0.2794649709461682,2816261.01512992,0.024788672433471996,13,11,-2,15,13,-2,26,0.0,0.0,0.0,0.1366015465801411,0.0,0.0,0.3467743663817815,0.6096188283448453,0.2794649709461682,0.3518445157466286,0.6237254686986076,0.2837408178927749
Maryland,MD,6177224,0.421093423955166,2601188.4046980264,0.022895607671091653,8,10,2,10,12,2,24,0.0,0.0,0.0,0.294707137057034,0.0,0.0,0.449307167827852,0.7019018660943183,0.421093423955166,0.4239039740906143,0.6802003219459846,0.3908066535503487
Colorado,CO,5773714,0.3945018497257304,2277740.8527873456,0.02004862886811575,8,9,1,10,11,1,8,0.0,0.0,0.0,0.0406719141266782,0.0,0.0,0.4379729699048328,0.6784028575073351,0.3945018497257304,0.4059970649868147,0.6588212782242633,0.3484500574052813
New Jersey,NJ,9288994,0.237115445607358,2202563.951554075,0.0193869233055903,12,8,-4,14,10,-4,34,0.0,0.0,0.0,0.131313466237571,0.0,0.0,0.3175067556800443,0.5686647637170948,0.237115445607358,0.3300686299971009,0.5632730732635585,0.260941960038059
Oklahoma,OK,3959353,0.5508742559523809,2181105.6379278274,0.019198047663525137,5,8,3,7,10,3,40,0.0,0.0,0.0,0.0732344400713955,0.0,0.0,0.5477395795640491,0.7709263392857143,0.5508742559523809,0.5495229278291974,0.7845982142857143,0.5633370535714286
Arkansas,AR,3011524,0.6144534115920762,1850441.1958914157,0.016287545939785136,4,7,3,6,9,3,5,0.0,0.0,0.0,0.1506821795210664,0.0,0.0,0.5971561468268526,0.8041085840058694,0.6144534115920762,0.5925218633930209,0.80997798972854,0.5898752751283932
